# Filename : LM_Channel_0550_mean_prof.dat 
# 
# Description : Profiles of the mean velocity and pressure 
# 
# Total number of data points  : 192
# 
# 
# 
# 
# The data in this file was extracted from a direct numerical simulation 
# of fully developed plane turbulent channel flow. The file is available at 
# http://turbulence.ices.utexas.edu, where it will be updated as necessary. 
# 
# When publishing results using this data, the following paper should be 
# cited as the source:  
# 
#    Myoungkyu Lee and Robert D. Moser,  
#    Direct numerical simulation of turbulent channel flow up to Re_tau = 5200, 
#    2015, Journal of Fluid Mechanics, vol. 774, pp. 395-415 
# 
# The paper can be found at http://journals.cambridge.org/article_S0022112015002682 
# 
# NOTE: before publication, please check 
# http://turbulence.ices.utexas.edu for any updates to the data and an 
# updated citation 
# 
# 
# Contact to Robert D. Moser(rmoser@ices.utexas.edu) or M.K. Lee(mk@ices.utexas.edu) for questions.
# 
# 
# The parameters defining the simulation from which this data were extracted are: 
# 
#  Grid (streamwise)       nx = 1536 
#  Grid (wall-normal)      ny = 384 
#  Grid (spanwise)         nz = 1024 
#  Streamwise domain size  Lx = 8pi 
#  Spanwise domain size    Lz = 3pi 
#  B-Spline order           n = 7 
#  Kinematic Viscosity     nu = 1.00000e-04 
#  Channel half width   delta = 1.000 
#  Avg streamwise vel  U_mean = 1.000 
#  Friction vel         u_tau = 5.43496e-02 
#  Re_tau              Re_tau =  543.496 
# 
# 
# All data are normalized by u_tau and nu (signified with a ^+) except 
# for y/delta 
# 
# This file was last updated on 6/15/2015.
# 
# 
# 
# Remark: 
# 
#      y/delta : Grid point in wall-normal direction, Normalized by channel half width 
#      y^+     : Grid point in wall-normal direction 
#      U       : Mean profile of streamwise velocity 
#    dU/dy     : Derivative of U in wall-normal direction 
#      W       : Mean profile of spanwise velocity 
#      P       : Mean profile of pressure 
# 
# *   Estimated standard deviations of datasets in this file are in the file: LM_Channel_0550_mean_stdev.dat 
# 
# **  Data at y/delta = 1.0 is not computed due to code performance optimization 
# 
# *** W should be zero due to (statistical) symmetries in the flow. 
#     It is reported here none-the-less as an indicator of the quality of the statistics.  
# 
# -----------End of header--------- 
# 
#         y/delta                    y^+                       U                      dU/dy                      W                        P           
#-----------------------------------------------------------------------------------------------------------------------------------------------------
    8.382404712001545e-01    4.555803835599512e+02    2.079321984020975e+01    4.588961906986330e-03   -2.135765989114815e-03   -4.402340326754970e-01
    8.464682109798117e-01    4.600521276160225e+02    2.081324918908372e+01    4.368667760093443e-03   -2.206485100672401e-03   -4.364151903495653e-01
    8.547066121252138e-01    4.645296660822448e+02    2.083231153221485e+01    4.145736443446517e-03   -2.270941943590419e-03   -4.327769622020743e-01
    8.629551025554367e-01    4.690126880348967e+02    2.085039486931996e+01    3.921706797684767e-03   -2.327942221519340e-03   -4.293236714474228e-01
    8.712131094889483e-01    4.735008821694789e+02    2.086749320038466e+01    3.697609781750571e-03   -2.376794504682624e-03   -4.260591281044143e-01
    8.794800594833834e-01    4.779939368223320e+02    2.088360315112819e+01    3.473386323347077e-03   -2.419671663701139e-03   -4.229870327369791e-01
    8.877553784753636e-01    4.824915399922785e+02    2.089871917866581e+01    3.248280325513261e-03   -2.460755437377085e-03   -4.201103258449136e-01
    8.960384918203610e-01    4.869933793622884e+02    2.091283368266074e+01    3.022156273457992e-03   -2.509581091592309e-03   -4.174297492486115e-01
    9.043288243326016e-01    4.914991423211665e+02    2.092593958522731e+01    2.795064397676314e-03   -2.577789194335023e-03   -4.149456527085266e-01
    9.126258003250073e-01    4.960085159852606e+02    2.093802802164164e+01    2.565954058347762e-03   -2.668251459705763e-03   -4.126607032213992e-01
    9.209288436491710e-01    5.005211872201886e+02    2.094908402908191e+01    2.333482365214410e-03   -2.776823150353668e-03   -4.105789731083863e-01
    9.292373777353661e-01    5.050368426625823e+02    2.095909125449610e+01    2.098560706214419e-03   -2.898462919615971e-03   -4.087025709792497e-01
    9.375508256325826e-01    5.095551687418480e+02    2.096804115713287e+01    1.863021769301935e-03   -3.029112821860025e-03   -4.070300751462850e-01
    9.458686100485920e-01    5.140758517019406e+02    2.097592999132706e+01    1.626934103623215e-03   -3.166740486624750e-03   -4.055586986126650e-01
    9.541901533900348e-01    5.185985776231519e+02    2.098275109132363e+01    1.388970990565947e-03   -3.307583629957846e-03   -4.042870984964636e-01
    9.625148778025282e-01    5.231230324439082e+02    2.098848987254134e+01    1.146986163166947e-03   -3.444271731494270e-03   -4.032169687174313e-01
    9.708422052107941e-01    5.276489019825805e+02    2.099312334861294e+01    8.996906276334085e-04   -3.568512463601324e-03   -4.023527300712286e-01
    9.791715573587998e-01    5.321758719593000e+02    2.099662691656584e+01    6.474141409134141e-04   -3.671381453848754e-03   -4.016998009854500e-01
    9.875023558499134e-01    5.367036280177831e+02    2.099897896544709e+01    3.908825933868782e-04   -3.744932911344684e-03   -4.012624152583385e-01
    9.958340221870678e-01    5.412318557471598e+02    2.100016126414640e+01    1.308212094818918e-04   -3.783511717869027e-03   -4.010430431209785e-01
